id,id_str,screen_name,location,description,url,followers_count,friends_count,listed_count,created_at,favourites_count,verified,statuses_count,lang,status,default_profile,default_profile_image,has_extended_profile,name,bot
3017099491,3017099491,vikram_ghanote,,,,17,221,1,Thu Feb 12 06:55:36 +0000 2015,15,False,444,en,"{'truncated': False, 'entities': {'user_mentions': [], 'urls': [{'expanded_url': 'http://fb.me/86OhswRKN', 'url': 'https://t.co/SAsgNKob7x', 'display_url': 'fb.me/86OhswRKN', 'indices': [64, 87]}], 'hashtags': [], 'symbols': []}, 'in_reply_to_status_id_str': None, 'created_at': 'Sat Mar 11 11:46:30 +0000 2017', 'id_str': '840529361245753345', 'in_reply_to_user_id': None, 'contributors': None, 'favorited': False, 'retweet_count': 0, 'favorite_count': 0, 'place': None, 'in_reply_to_screen_name': None, 'retweeted': False, 'source': '<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>', 'lang': 'en', 'possibly_sensitive': False, 'in_reply_to_user_id_str': None, 'is_quote_status': False, 'id': 840529361245753345, 'text': '10 Facts About Brain Work Which Prove We’re Capable of Anything https://t.co/SAsgNKob7x', 'coordinates': None, 'in_reply_to_status_id': None, 'geo': None}",True,True,False,Vikram Ghanote,1
4776235117,4776235117,sweetgirl4355,,,,62,973,0,Mon Jan 18 01:57:57 +0000 2016,10890,False,1,en,,True,False,False,Jill Thomson,1
802158585966919680,802158585966919680,SherriLucio,,,,187,4271,0,Fri Nov 25 14:34:45 +0000 2016,51,False,165,en,"{'truncated': False, 'entities': {'user_mentions': [], 'urls': [{'expanded_url': 'http://ift.tt/2kVY5vs', 'url': 'https://t.co/NPeNqNyqhy', 'display_url': 'ift.tt/2kVY5vs', 'indices': [83, 106]}], 'hashtags': [{'text': 'ad', 'indices': [0, 3]}], 'symbols': []}, 'in_reply_to_status_id_str': None, 'created_at': 'Wed Feb 01 17:12:28 +0000 2017', 'id_str': '826840654710001665', 'in_reply_to_user_id': None, 'contributors': None, 'favorited': False, 'retweet_count': 0, 'favorite_count': 12, 'place': None, 'in_reply_to_screen_name': None, 'retweeted': False, 'source': '<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>', 'lang': 'en', 'possibly_sensitive': False, 'in_reply_to_user_id_str': None, 'is_quote_status': False, 'id': 826840654710001665, 'text': ""#ad Hey guys... I'm in NYC with folgers to chat about the Folgers Jingle Contes... https://t.co/NPeNqNyqhy"", 'coordinates': None, 'in_reply_to_status_id': None, 'geo': None}",True,False,False,sherri lucio,1
27636553,27636553,thomp27,,Pretty girl from Denmark. Want to meet somebody for virt. Find me here https://t.co/NDxXt2gbnZ. My nick Musi,,66,3716,0,Mon Mar 30 13:34:32 +0000 2009,0,False,0,en,,True,True,False,Kathy Miln,1
847720063,847720063,avadim11,,,,32,1582,0,Wed Sep 26 16:35:49 +0000 2012,0,False,4,fr,"{'truncated': False, 'entities': {'user_mentions': [], 'urls': [{'expanded_url': 'http://goo.gl/ol49bi', 'url': 'https://t.co/o4flCMMhlv', 'display_url': 'goo.gl/ol49bi', 'indices': [57, 80]}], 'hashtags': [{'text': 'sluts', 'indices': [82, 88]}], 'media': [{'type': 'photo', 'expanded_url': 'https://twitter.com/avadim11/status/735718606047059968/photo/1', 'sizes': {'small': {'h': 319, 'w': 340, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}, 'medium': {'h': 562, 'w': 600, 'resize': 'fit'}, 'large': {'h': 566, 'w': 604, 'resize': 'fit'}}, 'media_url_https': 'https://pbs.twimg.com/media/CjXMK1KUYAA-hHb.jpg', 'id_str': '735718600586059776', 'id': 735718600586059776, 'url': 'https://t.co/X3WptyenPs', 'indices': [89, 112], 'media_url': 'http://pbs.twimg.com/media/CjXMK1KUYAA-hHb.jpg', 'display_url': 'pic.twitter.com/X3WptyenPs'}], 'symbols': []}, 'in_reply_to_status_id_str': None, 'created_at': 'Thu May 26 06:25:59 +0000 2016', 'id_str': '735718606047059968', 'in_reply_to_user_id': None, 'contributors': None, 'favorited': False, 'retweet_count': 0, 'favorite_count': 0, 'place': None, 'in_reply_to_screen_name': None, 'retweeted': False, 'extended_entities': {'media': [{'type': 'photo', 'expanded_url': 'https://twitter.com/avadim11/status/735718606047059968/photo/1', 'sizes': {'small': {'h': 319, 'w': 340, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}, 'medium': {'h': 562, 'w': 600, 'resize': 'fit'}, 'large': {'h': 566, 'w': 604, 'resize': 'fit'}}, 'media_url_https': 'https://pbs.twimg.com/media/CjXMK1KUYAA-hHb.jpg', 'id_str': '735718600586059776', 'id': 735718600586059776, 'url': 'https://t.co/X3WptyenPs', 'indices': [89, 112], 'media_url': 'http://pbs.twimg.com/media/CjXMK1KUYAA-hHb.jpg', 'display_url': 'pic.twitter.com/X3WptyenPs'}]}, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'lang': 'en', 'possibly_sensitive': False, 'in_reply_to_user_id_str': None, 'is_quote_status': False, 'id': 735718606047059968, 'text': ""Guys, my pussy goes wet💦..\nI missed, let's have a chat 👉\nhttps://t.co/o4flCMMhlv\n\n#sluts https://t.co/X3WptyenPs"", 'coordinates': None, 'in_reply_to_status_id': None, 'geo': None}",True,True,False,asencio,1
252903217,252903217,akramEldesouky,,Hi;) My login is Duren24 on https://t.co/9qoFAsKgBy,,38,835,0,Wed Feb 16 04:21:12 +0000 2011,0,False,4,en,,True,False,False,Smelocha Vladlen,1
70819324,70819324,Tink0074,,,,4,32,0,Tue Sep 01 23:29:06 +0000 2009,0,False,29,en,"{'truncated': False, 'entities': {'user_mentions': [{'id': 2469799574, 'name': 'On Target Magazine', 'indices': [39, 55], 'screen_name': 'ontargetmagazin', 'id_str': '2469799574'}], 'urls': [{'expanded_url': 'https://wn.nr/BYxEXh', 'url': 'https://t.co/EsEUuER0nE', 'display_url': 'wn.nr/BYxEXh', 'indices': [56, 79]}], 'hashtags': [], 'symbols': []}, 'in_reply_to_status_id_str': None, 'created_at': 'Mon Jan 16 17:58:22 +0000 2017', 'id_str': '821053998396559361', 'in_reply_to_user_id': None, 'contributors': None, 'favorited': False, 'retweet_count': 0, 'favorite_count': 0, 'place': None, 'in_reply_to_screen_name': None, 'retweeted': False, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'lang': 'en', 'possibly_sensitive': False, 'in_reply_to_user_id_str': None, 'is_quote_status': False, 'id': 821053998396559361, 'text': 'Help me win this awesome giveaway from @ontargetmagazin https://t.co/EsEUuER0nE', 'coordinates': None, 'in_reply_to_status_id': None, 'geo': None}",True,True,False,Tracy Austin,1
839497464365350913,839497464365350913,249_4665,,,,4,96,0,Wed Mar 08 15:26:07 +0000 2017,3,False,0,ar,,True,True,False,+249 11 498 4665,1
698970824838139908,698970824838139908,vocalsvt, ≫ VlNTAEGE,"hi! @VlNTAEGE gave you this free follow and i hope you'll follow my main acc, i want to get to know more people! have a good day ❤️",https://t.co/mtIwsCfDXP,394,3537,0,Sun Feb 14 20:43:25 +0000 2016,46,False,349,en,"{'truncated': False, 'entities': {'user_mentions': [{'id': 3368001543, 'name': 'ㅤ', 'indices': [3, 17], 'screen_name': 'hisboybeliber', 'id_str': '3368001543'}], 'urls': [], 'hashtags': [], 'symbols': []}, 'in_reply_to_status_id_str': None, 'created_at': 'Mon Aug 01 19:32:14 +0000 2016', 'id_str': '760196460671533056', 'in_reply_to_user_id': None, 'retweeted_status': {'truncated': False, 'entities': {'user_mentions': [], 'urls': [], 'hashtags': [], 'symbols': []}, 'in_reply_to_status_id_str': None, 'created_at': 'Mon Aug 01 19:32:08 +0000 2016', 'id_str': '760196435761586176', 'in_reply_to_user_id': None, 'contributors': None, 'favorited': False, 'retweet_count': 111, 'favorite_count': 50, 'place': None, 'in_reply_to_screen_name': None, 'retweeted': False, 'source': '<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>', 'lang': 'en', 'in_reply_to_user_id_str': None, 'is_quote_status': False, 'id': 760196435761586176, 'text': 'Retweet if you want to gain followers, turn my notifications on and be active because a gain tweet in 2mins💤', 'coordinates': None, 'in_reply_to_status_id': None, 'geo': None}, 'contributors': None, 'favorited': False, 'retweet_count': 111, 'favorite_count': 0, 'place': None, 'in_reply_to_screen_name': None, 'retweeted': False, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'lang': 'en', 'in_reply_to_user_id_str': None, 'is_quote_status': False, 'id': 760196460671533056, 'text': 'RT @hisboybeliber: Retweet if you want to gain followers, turn my notifications on and be active because a gain tweet in 2mins💤', 'coordinates': None, 'in_reply_to_status_id': None, 'geo': None}",False,False,False,free follow|read bio,1
828094155314315264,828094155314315264,Na1U1AX56WrkBSc,,,,9,25,0,Sun Feb 05 04:13:26 +0000 2017,400,False,385,ru,"{'truncated': False, 'entities': {'user_mentions': [{'id': 794137003512229888, 'name': 'Kamasutra +18', 'indices': [3, 12], 'screen_name': 'PlaySex_', 'id_str': '794137003512229888'}, {'id': 797362606080040960, 'name': 'culolover69', 'indices': [16, 28], 'screen_name': 'culolover69', 'id_str': '797362606080040960'}, {'id': 762732701774385162, 'name': 'RT AssStar_0_   66K+', 'indices': [29, 40], 'screen_name': 'AssStar_0_', 'id_str': '762732701774385162'}, {'id': 3400894845, 'name': '✨ #BatAss 60K ✨', 'indices': [41, 50], 'screen_name': 'VirtuAss', 'id_str': '3400894845'}, {'id': 2459589950, 'name': 'Booty_Cartel 72K', 'indices': [51, 64], 'screen_name': 'Booty_Cartel', 'id_str': '2459589950'}, {'id': 897564180, 'name': 'Porno Del Dia 171K', 'indices': [65, 75], 'screen_name': 'PornoxDia', 'id_str': '897564180'}, {'id': 3020825118, 'name': 'PawgWithABlog🍑', 'indices': [76, 89], 'screen_name': 'shockinator2', 'id_str': '3020825118'}, {'id': 390781513, 'name': '✨♏️aster♈️ancou♈️er✨', 'indices': [90, 101], 'screen_name': 'R_sidney_V', 'id_str': '390781513'}, {'id': 430004054, 'name': 'Big Butt Gifs', 'indices': [102, 114], 'screen_name': 'BigButtGifs', 'id_str': '430004054'}, {'id': 2278327592, 'name': 'Rubicon 18+ 9️⃣0️⃣K', 'indices': [115, 126], 'screen_name': 'rubicon765', 'id_str': '2278327592'}], 'urls': [], 'hashtags': [], 'symbols': []}, 'in_reply_to_status_id_str': None, 'created_at': 'Sun Mar 12 21:27:57 +0000 2017', 'id_str': '841038075425873923', 'in_reply_to_user_id': None, 'retweeted_status': {'truncated': False, 'entities': {'user_mentions': [{'id': 797362606080040960, 'name': 'culolover69', 'indices': [2, 14], 'screen_name': 'culolover69', 'id_str': '797362606080040960'}, {'id': 762732701774385162, 'name': 'RT AssStar_0_   66K+', 'indices': [15, 26], 'screen_name': 'AssStar_0_', 'id_str': '762732701774385162'}, {'id': 3400894845, 'name': '✨ #BatAss 60K ✨', 'indices': [27, 36], 'screen_name': 'VirtuAss', 'id_str': '3400894845'}, {'id': 2459589950, 'name': 'Booty_Cartel 72K', 'indices': [37, 50], 'screen_name': 'Booty_Cartel', 'id_str': '2459589950'}, {'id': 897564180, 'name': 'Porno Del Dia 171K', 'indices': [51, 61], 'screen_name': 'PornoxDia', 'id_str': '897564180'}, {'id': 3020825118, 'name': 'PawgWithABlog🍑', 'indices': [62, 75], 'screen_name': 'shockinator2', 'id_str': '3020825118'}, {'id': 390781513, 'name': '✨♏️aster♈️ancou♈️er✨', 'indices': [76, 87], 'screen_name': 'R_sidney_V', 'id_str': '390781513'}, {'id': 430004054, 'name': 'Big Butt Gifs', 'indices': [88, 100], 'screen_name': 'BigButtGifs', 'id_str': '430004054'}, {'id': 2278327592, 'name': 'Rubicon 18+ 9️⃣0️⃣K', 'indices': [101, 112], 'screen_name': 'rubicon765', 'id_str': '2278327592'}], 'urls': [], 'hashtags': [], 'media': [{'type': 'photo', 'source_user_id': 2504601841, 'source_status_id_str': '834783384295596033', 'expanded_url': 'https://twitter.com/hq_porn_hq/status/834783384295596033/video/1', 'source_user_id_str': '2504601841', 'indices': [113, 136], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/834782594055155713/pu/img/dS1muq9HV33OU9X-.jpg', 'display_url': 'pic.twitter.com/gU4I2OQETS', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/834782594055155713/pu/img/dS1muq9HV33OU9X-.jpg', 'id_str': '834782594055155713', 'url': 'https://t.co/gU4I2OQETS', 'source_status_id': 834783384295596033, 'sizes': {'small': {'h': 191, 'w': 340, 'resize': 'fit'}, 'medium': {'h': 338, 'w': 600, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}, 'large': {'h': 576, 'w': 1024, 'resize': 'fit'}}, 'id': 834782594055155713}], 'symbols': []}, 'in_reply_to_status_id_str': None, 'created_at': 'Tue Feb 28 21:22:20 +0000 2017', 'id_str': '836688008527118336', 'in_reply_to_user_id': None, 'contributors': None, 'favorited': False, 'retweet_count': 32, 'favorite_count': 82, 'place': None, 'in_reply_to_screen_name': None, 'retweeted': False, 'extended_entities': {'media': [{'video_info': {'aspect_ratio': [16, 9], 'variants': [{'url': 'https://video.twimg.com/ext_tw_video/834782594055155713/pu/pl/wbS2liN6yhOGvLy6.m3u8', 'content_type': 'application/x-mpegURL'}, {'url': 'https://video.twimg.com/ext_tw_video/834782594055155713/pu/vid/320x180/7pZP17Y_sxqBfaPF.mp4', 'content_type': 'video/mp4', 'bitrate': 320000}, {'url': 'https://video.twimg.com/ext_tw_video/834782594055155713/pu/vid/640x360/USUqEtr0Yxtdo8Gs.mp4', 'content_type': 'video/mp4', 'bitrate': 832000}, {'url': 'https://video.twimg.com/ext_tw_video/834782594055155713/pu/vid/1280x720/4edSDumTjol9c27N.mp4', 'content_type': 'video/mp4', 'bitrate': 2176000}], 'duration_millis': 107643}, 'type': 'video', 'source_user_id': 2504601841, 'source_status_id_str': '834783384295596033', 'expanded_url': 'https://twitter.com/hq_porn_hq/status/834783384295596033/video/1', 'source_user_id_str': '2504601841', 'indices': [113, 136], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/834782594055155713/pu/img/dS1muq9HV33OU9X-.jpg', 'display_url': 'pic.twitter.com/gU4I2OQETS', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/834782594055155713/pu/img/dS1muq9HV33OU9X-.jpg', 'id_str': '834782594055155713', 'url': 'https://t.co/gU4I2OQETS', 'source_status_id': 834783384295596033, 'additional_media_info': {'monetizable': False}, 'sizes': {'small': {'h': 191, 'w': 340, 'resize': 'fit'}, 'medium': {'h': 338, 'w': 600, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}, 'large': {'h': 576, 'w': 1024, 'resize': 'fit'}}, 'id': 834782594055155713}]}, 'source': '<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>', 'lang': 'und', 'possibly_sensitive': True, 'in_reply_to_user_id_str': None, 'is_quote_status': False, 'id': 836688008527118336, 'text': '. @culolover69 @AssStar_0_ @VirtuAss @Booty_Cartel @PornoxDia @shockinator2 @R_sidney_V @BigButtGifs @rubicon765 https://t.co/gU4I2OQETS', 'coordinates': None, 'in_reply_to_status_id': None, 'geo': None}, 'contributors': None, 'favorited': False, 'retweet_count': 32, 'favorite_count': 0, 'place': None, 'in_reply_to_screen_name': None, 'retweeted': False, 'source': '<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', 'lang': 'und', 'in_reply_to_user_id_str': None, 'is_quote_status': False, 'id': 841038075425873923, 'text': 'RT @PlaySex_: . @culolover69 @AssStar_0_ @VirtuAss @Booty_Cartel @PornoxDia @shockinator2 @R_sidney_V @BigButtGifs @rubicon765 https://t.co…', 'coordinates': None, 'in_reply_to_status_id': None, 'geo': None}",True,False,False,Wanda Martin,1
